cnpj;dt_abertura;de_cnae_principal;de_ramo_atividade;de_setor;endereco_municipio;endereco_uf;endereco_regiao;situacao_cadastral;empresa_porte;optante_simples;optante_simei;nivel_atividade;saude_tributaria
02369691000120;1998-02-02;COMPRA E VENDA DE IMOVEIS PROPRIOS;SERVICOS ADMINISTRATIVOS;SERVICOS;CAMPINAS;SP;SUDESTE;ATIVA;;;;;
19650079000124;2014-02-04;CONFECCAO DE PECAS DE VESTUARIO EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;BENS DE CONSUMO;INDUSTRIA;TAQUARITINGA DO NORTE;PE;NORDESTE;ATIVA;;;;;
41441030000110;2021-04-02;SERVICOS DE MONTAGEM DE MOVEIS DE QUALQUER MATERIAL;SERVICOS DIVERSOS;SERVICOS;TOLEDO;PR;SUL;ATIVA;;;;;
39916766000156;2020-11-25;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;GOIANIA;GO;CENTRO-OESTE;ATIVA;;;;;
16662453000113;2012-08-08;SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES;VAREJO;COMERCIO;SAO CARLOS;SP;SUDESTE;ATIVA;;;;;
14720714000189;2011-12-05;SERVICOS DE LAVAGEM LUBRIFICACAO E POLIMENTO DE VEICULOS AUTOMOTORES;VAREJO;COMERCIO;ROLANDIA;PR;SUL;ATIVA;;;;;
05062388000179;2002-05-23;LOJAS DE VARIEDADES EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES;VAREJO;COMERCIO;JAGUAQUARA;BA;NORDESTE;ATIVA;;;;;
40031895000146;2020-12-07;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS MINIMERCADOS MERCEARIAS E ARMAZENS;VAREJO;COMERCIO;PONTALINDA;SP;SUDESTE;ATIVA;;;;;
46679152000163;2022-06-06;REPARACAO DE ARTIGOS DO MOBILIARIO;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
44002297000108;2021-10-25;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;BENS DE CONSUMO;INDUSTRIA;DUQUE DE CAXIAS;RJ;SUDESTE;ATIVA;;;;;
45589863000184;2022-03-09;MANUTENCAO E REPARACAO DE MAQUINAS E APARELHOS DE REFRIGERACAO E VENTILACAO PARA USO INDUSTRIAL E COMERCIAL;SERVICOS DIVERSOS;SERVICOS;MANAUS;AM;NORTE;ATIVA;;;;;
02195898000126;1997-10-15;AGENCIAMENTO DE CARGAS EXCETO PARA O TRANSPORTE MARITIMO;TRANSPORTE;SERVICOS;RIO DE JANEIRO;RJ;SUDESTE;ATIVA;;;;;
37358343000132;2020-06-08;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR EXCETO ANDAIMES;SERVICOS ADMINISTRATIVOS;SERVICOS;MARIANA;MG;SUDESTE;ATIVA;;;;;
47188868000120;2022-07-18;PERFURACAO E CONSTRUCAO DE POCOS DE AGUA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;PARAGOMINAS;PA;NORTE;ATIVA;;;;;
40174622000150;2020-12-21;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;BELO HORIZONTE;MG;SUDESTE;ATIVA;;;;;
01934982000151;1997-06-27;FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL;BENS DE CONSUMO;INDUSTRIA;CAMPINA GRANDE;PB;NORDESTE;ATIVA;;;;;
16972159000108;2012-10-08;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;ANAPOLIS;GO;CENTRO-OESTE;ATIVA;;;;;
00363230000115;1994-12-19;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;BLUMENAU;SC;SUL;ATIVA;;;;;
35148605000109;2019-10-10;COMERCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIENCIA;VAREJO;COMERCIO;PORTO ALEGRE;RS;SUL;ATIVA;;;;;
10193745000178;2008-07-17;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;VAREJO;COMERCIO;QUEDAS DO IGUACU;PR;SUL;ATIVA;;;;;
14323021000152;2011-09-20;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;VAREJO;COMERCIO;FELIXLANDIA;MG;SUDESTE;ATIVA;;;;;
37437784000120;2020-06-16;ENSINO DE IDIOMAS DISPENSADA;SERVICOS DE EDUCACAO;SERVICOS;RIO CLARO;SP;SUDESTE;ATIVA;;;;;
15214938000181;2012-03-18;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;VAREJO;COMERCIO;DUQUE DE CAXIAS;RJ;SUDESTE;ATIVA;;;;;
44620535000130;2021-12-17;SERVICOS DOMESTICOS;SERVICOS DIVERSOS;SERVICOS;SERRA;ES;SUDESTE;ATIVA;;;;;
41772344000104;1991-11-13;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS SUPERMERCADOS;VAREJO;COMERCIO;POCOS DE CALDAS;MG;SUDESTE;ATIVA;;;;;
08523358000100;2006-12-14;CRIACAO DE BOVINOS PARA LEITE;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;JOANOPOLIS;SP;SUDESTE;ATIVA;;;;;
26624121000106;2016-11-29;CULTIVO DE CAFE;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;TAGUAI;SP;SUDESTE;ATIVA;;;;;
13010912000196;2010-11-26;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA;VAREJO;COMERCIO;MORRO DO CHAPEU;BA;NORDESTE;ATIVA;;;;;
65943664000130;1991-05-20;COMERCIO VAREJISTA DE OUTROS ARTIGOS USADOS;VAREJO;COMERCIO;TIETE;SP;SUDESTE;ATIVA;;;;;
39304558000104;2020-10-05;PROMOCAO DE VENDAS;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;SAO FRANCISCO DO GUAPORE;RO;NORTE;ATIVA;;;;;
