cnpj;dt_abertura;de_cnae_principal;de_ramo_atividade;de_setor;endereco_municipio;endereco_uf;endereco_regiao;situacao_cadastral;empresa_porte;optante_simples;optante_simei;nivel_atividade;saude_tributaria
39392850000118;2020-10-12;OUTRAS ATIVIDADES DE SERVICOS DE SEGURANCA;SERVICOS ADMINISTRATIVOS;SERVICOS;TEIXEIRA DE FREITAS;BA;NORDESTE;ATIVA;;;;;
40449809000110;2021-01-18;PROMOCAO DE VENDAS;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
42968706000191;2021-08-03;SERVICOS AMBULANTES DE ALIMENTACAO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;SAO JOAO BATISTA;SC;SUL;ATIVA;;;;;
47468027000177;2022-08-08;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;CURITIBA;PR;SUL;ATIVA;;;;;
47498617000142;2022-08-10;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS ADMINISTRATIVOS;SERVICOS;INDAIAL;SC;SUL;ATIVA;;;;;
01656069000130;1997-01-03;CANTINAS SERVICOS DE ALIMENTACAO PRIVATIVOS;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;SAO JOSE DO RIO PARDO;SP;SUDESTE;ATIVA;;;;;
43365029000180;2021-09-01;SERVICOS DE ENTREGA RAPIDA;TRANSPORTE;SERVICOS;GOIANIA;GO;CENTRO-OESTE;ATIVA;;;;;
47156099000189;2022-07-14;ESTACIONAMENTO DE VEICULOS;TRANSPORTE;SERVICOS;BARUERI;SP;SUDESTE;ATIVA;;;;;
46592114000179;2022-05-30;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;SAO BERNARDO DO CAMPO;SP;SUDESTE;ATIVA;;;;;
29518739000171;2018-01-24;CASAS DE FESTAS E EVENTOS;SERVICOS ADMINISTRATIVOS;SERVICOS;ANGRA DOS REIS;RJ;SUDESTE;ATIVA;;;;;
13856859000149;2011-06-27;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS MINIMERCADOS MERCEARIAS E ARMAZENS;VAREJO;COMERCIO;UBERABA;MG;SUDESTE;ATIVA;;;;;
11771494000124;2010-04-05;COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM;VAREJO;COMERCIO;CAMPOS DOS GOYTACAZES;RJ;SUDESTE;ATIVA;;;;;
32745406000190;2019-02-12;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;GUAPORE;RS;SUL;ATIVA;;;;;
37987860000170;2020-08-05;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;PELOTAS;RS;SUL;ATIVA;;;;;
24853372000129;2016-05-23;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;VAREJO;COMERCIO;ITAGUAI;RJ;SUDESTE;ATIVA;;;;;
37150340000109;2020-05-15;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL;SERVICOS DE EDUCACAO;SERVICOS;CUIABA;MT;CENTRO-OESTE;ATIVA;;;;;
21115155000143;2014-09-25;ENSINO DE MUSICA;SERVICOS DE EDUCACAO;SERVICOS;CURITIBA;PR;SUL;ATIVA;;;;;
15544415000101;2012-05-16;FABRICACAO DE ALIMENTOS DIETETICOS E COMPLEMENTOS ALIMENTARES;BENS DE CONSUMO;INDUSTRIA;JUIZ DE FORA;MG;SUDESTE;ATIVA;;;;;
27914477000139;2017-06-07;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;VAREJO;COMERCIO;CABO DE SANTO AGOSTINHO;PE;NORDESTE;ATIVA;;;;;
25115671000129;2016-07-01;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS MUNICIPAL;TRANSPORTE;SERVICOS;MARINGA;PR;SUL;ATIVA;;;;;
04885987000120;2002-02-04;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;VAREJO;COMERCIO;CAMPOS SALES;CE;NORDESTE;ATIVA;;;;;
30432840000194;2018-05-11;CONSTRUCAO DE EDIFICIOS;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;ARAGUAINA;TO;NORTE;ATIVA;;;;;
22444881002620;2019-01-02;ESTACIONAMENTO DE VEICULOS;TRANSPORTE;SERVICOS;PONTA GROSSA;PR;SUL;ATIVA;;;;;
33811440000188;2019-06-03;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;SENADOR AMARAL;MG;SUDESTE;ATIVA;;;;;
37525530000163;2020-06-25;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA MOTOCICLETAS E MOTONETAS;VAREJO;COMERCIO;SAO MIGUEL DO GUAMA;PA;NORTE;ATIVA;;;;;
37565813000139;2020-06-30;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;VAREJO;COMERCIO;PETROLINA;PE;NORDESTE;ATIVA;;;;;
36758256000100;2020-03-24;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE DISPENSADA;SERVICOS ADMINISTRATIVOS;SERVICOS;LONDRINA;PR;SUL;ATIVA;;;;;
90256744000164;1989-02-24;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;TRAMANDAI;RS;SUL;ATIVA;;;;;
18853537000160;2013-09-11;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;PETROLINA;PE;NORDESTE;ATIVA;;;;;
25524562000165;1988-12-21;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;BELO HORIZONTE;MG;SUDESTE;ATIVA;;;;;
63849194000114;1991-06-27;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;BELEM;PA;NORTE;ATIVA;;;;;
37560823000181;2020-06-29;AGENCIAS DE VIAGENS;SERVICOS ADMINISTRATIVOS;SERVICOS;MANAUS;AM;NORTE;ATIVA;;;;;
11012016000130;2009-07-24;COMERCIO ATACADISTA DE PAPEL E PAPELAO EM BRUTO;ATACADO;COMERCIO;GUARULHOS;SP;SUDESTE;ATIVA;;;;;
47883864000162;2022-09-08;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;SALVADOR;BA;NORDESTE;ATIVA;;;;;
47884401000115;2022-09-08;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS MINIMERCADOS MERCEARIAS E ARMAZENS;VAREJO;COMERCIO;BRASILIA;DF;CENTRO-OESTE;ATIVA;;;;;
21241276000131;2014-10-16;INSTALACAO E MANUTENCAO ELETRICA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;SANTO ANDRE;SP;SUDESTE;ATIVA;;;;;
32797369000163;2019-02-18;SERVICO DE TAXI;TRANSPORTE;SERVICOS;BELO HORIZONTE;MG;SUDESTE;ATIVA;;;;;
41405129000167;2021-03-30;FABRICACAO DE PRODUTOS DE CARNE;BENS DE CONSUMO;INDUSTRIA;TIMOTEO;MG;SUDESTE;ATIVA;;;;;
33878449000106;2019-06-10;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO;VAREJO;COMERCIO;AGUAS LINDAS DE GOIAS;GO;CENTRO-OESTE;ATIVA;;;;;
11293679000170;2009-11-09;SERVICOS AMBULANTES DE ALIMENTACAO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;POCO FUNDO;MG;SUDESTE;ATIVA;;;;;
14657682000114;2011-11-23;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;VAREJO;COMERCIO;JUIZ DE FORA;MG;SUDESTE;ATIVA;;;;;
41657521000101;2021-04-21;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;BENS DE CONSUMO;INDUSTRIA;CAMPINAS;SP;SUDESTE;ATIVA;;;;;
41597858000162;2021-04-16;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;UBERLANDIA;MG;SUDESTE;ATIVA;;;;;
19204272000131;2013-11-06;SERVICOS DE USINAGEM TORNEARIA E SOLDA;SIDERURGICA-METALURGIA;INDUSTRIA;PORTO ALEGRE;RS;SUL;ATIVA;;;;;
16753031000153;2012-08-24;OUTRAS ATIVIDADES DE ENSINO NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS DE EDUCACAO;SERVICOS;JANDAIA DO SUL;PR;SUL;ATIVA;;;;;
36391821000143;2020-02-17;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS SEM MANIPULACAO DE FORMULAS;VAREJO;COMERCIO;GUARATINGUETA;SP;SUDESTE;ATIVA;;;;;
27403146000304;1983-07-12;BRITAMENTO DE PEDRAS EXCETO ASSOCIADO A EXTRACAO;QUIMICA-PETROQUIMICA;INDUSTRIA;RIO DE JANEIRO;RJ;SUDESTE;ATIVA;;;;;
37717358000140;2020-07-14;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;PETROPOLIS;RJ;SUDESTE;ATIVA;;;;;
01642494000170;1997-02-04;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;FLORIANO;PI;NORDESTE;ATIVA;;;;;
07595746000134;2005-08-26;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;MARABA;PA;NORTE;ATIVA;;;;;
20511710000193;2014-06-27;LOJAS DE VARIEDADES EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES;VAREJO;COMERCIO;GOIANIA;GO;CENTRO-OESTE;ATIVA;;;;;
17980488000163;2013-04-22;RECUPERACAO DE MATERIAIS METALICOS EXCETO ALUMINIO;SERVICOS DE SANEAMENTO BASICO;SERVICOS;BATAGUASSU;MS;CENTRO-OESTE;ATIVA;;;;;
44010604000194;2021-10-25;ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
94720497000166;1993-11-01;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;URUGUAIANA;RS;SUL;ATIVA;;;;;
43745558000109;2021-10-02;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS ADMINISTRATIVOS;SERVICOS;BARUERI;SP;SUDESTE;ATIVA;;;;;
42680882000123;2021-07-12;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;BENS DE CONSUMO;INDUSTRIA;SETE BARRAS;SP;SUDESTE;ATIVA;;;;;
39242017000190;2020-09-29;FABRICACAO DE OUTROS PRODUTOS TEXTEIS NAO ESPECIFICADOS ANTERIORMENTE;TEXTEIS;INDUSTRIA;VALINHOS;SP;SUDESTE;ATIVA;;;;;
15441078000119;2012-04-26;CRIACAO DE SUINOS;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;CERQUEIRA CESAR;SP;SUDESTE;ATIVA;;;;;
43760976000175;2021-10-04;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS SUPERMERCADOS;VAREJO;COMERCIO;PALMAS;TO;NORTE;ATIVA;;;;;
40577616000144;2021-01-26;SERVICOS DE ORGANIZACAO DE FEIRAS CONGRESSOS EXPOSICOES E FESTAS;SERVICOS ADMINISTRATIVOS;SERVICOS;RIBEIRAO PRETO;SP;SUDESTE;ATIVA;;;;;
40581440000102;2021-01-27;FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA;BENS DE CONSUMO;INDUSTRIA;BARRA MANSA;RJ;SUDESTE;ATIVA;;;;;
21283529000130;2014-10-24;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;VAREJO;COMERCIO;INDAIATUBA;SP;SUDESTE;ATIVA;;;;;
13574684000187;2011-04-28;SERVICOS DE ORGANIZACAO DE FEIRAS CONGRESSOS EXPOSICOES E FESTAS;SERVICOS ADMINISTRATIVOS;SERVICOS;GOIANIA;GO;CENTRO-OESTE;ATIVA;;;;;
18769322000165;2013-08-15;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;CURITIBA;PR;SUL;ATIVA;;;;;
45952550000149;2022-04-07;FABRICACAO DE PRODUTOS DE PASTAS CELULOSICAS PAPEL CARTOLINA PAPEL CARTAO E PAPELAO ONDULADO NAO ESPECIFICADOS ANTERIORMENTE;PAPEL E CELULOSE;INDUSTRIA;CURITIBA;PR;SUL;ATIVA;;;;;
37010213000104;2020-04-27;COMERCIO VAREJISTA DE OBJETOS DE ARTE;VAREJO;COMERCIO;BELO HORIZONTE;MG;SUDESTE;ATIVA;;;;;
13684541000128;2011-05-23;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;JANUARIA;MG;SUDESTE;ATIVA;;;;;
24368216000172;2016-03-11;FABRICACAO DE ALIMENTOS E PRATOS PRONTOS;BENS DE CONSUMO;INDUSTRIA;LAGOA DA PRATA;MG;SUDESTE;ATIVA;;;;;
03210274000101;1999-05-13;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;SERVICOS DIVERSOS;SERVICOS;ESTANCIA VELHA;RS;SUL;ATIVA;;;;;
45997610000140;2022-04-12;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;SAO MIGUEL DOS CAMPOS;AL;NORDESTE;ATIVA;;;;;
10572071021039;1996-07-29;EDUCACAO INFANTIL PRE ESCOLA;SERVICOS DE EDUCACAO;SERVICOS;TABIRA;PE;NORDESTE;ATIVA;;;;;
37399564000159;2020-06-13;RESTAURANTES E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;IMPERATRIZ;MA;NORDESTE;ATIVA;;;;;
39255766000152;2020-09-30;COMERCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO CIRURGICO HOSPITALAR E DE LABORATORIOS;ATACADO;COMERCIO;BAURU;SP;SUDESTE;ATIVA;;;;;
24505714000110;2016-04-01;COMERCIO ATACADISTA DE CARNES BOVINAS E SUINAS E DERIVADOS;ATACADO;COMERCIO;MARABA;PA;NORTE;ATIVA;;;;;
02105196000104;1997-09-12;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;VAREJO;COMERCIO;TOLEDO;PR;SUL;ATIVA;;;;;
24418357000152;2016-03-18;PROMOCAO DE VENDAS;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;SALVADOR;BA;NORDESTE;ATIVA;;;;;
16743802000121;2012-07-27;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS PATRONAIS E EMPRESARIAIS;SERVICOS DIVERSOS;SERVICOS;GOIANIA;GO;CENTRO-OESTE;ATIVA;;;;;
32124273000134;1988-08-18;COMERCIO ATACADISTA DE BEBIDAS COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA;ATACADO;COMERCIO;RIO DE JANEIRO;RJ;SUDESTE;ATIVA;;;;;
31446203000130;2018-09-06;SERVICOS AMBULANTES DE ALIMENTACAO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;BELO HORIZONTE;MG;SUDESTE;ATIVA;;;;;
54916283000145;1987-01-27;ADMINISTRACAO PUBLICA EM GERAL;SERVICOS DIVERSOS;SERVICOS;DOBRADA;SP;SUDESTE;ATIVA;;;;;
04157329000111;2000-11-20;SERVICOS DE TOMOGRAFIA;SERVICOS DE SAUDE;SERVICOS;SALVADOR;BA;NORDESTE;ATIVA;;;;;
33377779000118;2019-04-16;ATIVIDADES DE FORNECIMENTO DE INFRA ESTRUTURA DE APOIO E ASSISTENCIA A PACIENTE NO DOMICILIO;SERVICOS DE SAUDE;SERVICOS;DUQUE DE CAXIAS;RJ;SUDESTE;ATIVA;;;;;
38268499000195;2020-08-22;SERVICOS DE TOMOGRAFIA;SERVICOS DE SAUDE;SERVICOS;RIO DE JANEIRO;RJ;SUDESTE;ATIVA;;;;;
19146383000139;2013-10-28;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;FORMOSO DO ARAGUAIA;TO;NORTE;ATIVA;;;;;
78626934000120;1969-03-04;LAVANDERIAS;SERVICOS DIVERSOS;SERVICOS;LONDRINA;PR;SUL;ATIVA;;;;;
10375334000101;2008-09-30;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;CONCEICAO DOS OUROS;MG;SUDESTE;ATIVA;;;;;
31150688000110;2018-08-08;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS SEM ENTRETENIMENTO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;CAICO;RN;NORDESTE;ATIVA;;;;;
46143180000161;2022-04-26;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;JAGUAQUARA;BA;NORDESTE;ATIVA;;;;;
14283434000150;2011-09-13;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;VAREJO;COMERCIO;OLHO D AGUA DAS FLORES;AL;NORDESTE;ATIVA;;;;;
27108599000138;2017-02-14;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;MIRABELA;MG;SUDESTE;ATIVA;;;;;
03017617000108;1999-02-24;OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS;SERVICOS DIVERSOS;SERVICOS;CAPITAO LEONIDAS MARQUES;PR;SUL;ATIVA;;;;;
32616133000183;2019-01-30;SERVICOS DE ORGANIZACAO DE FEIRAS CONGRESSOS EXPOSICOES E FESTAS;SERVICOS ADMINISTRATIVOS;SERVICOS;CAMPO GRANDE;MS;CENTRO-OESTE;ATIVA;;;;;
37655566000161;2020-07-08;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;VAREJO;COMERCIO;PRANCHITA;PR;SUL;ATIVA;;;;;
33310836000141;2019-04-10;SERVICOS DOMESTICOS;SERVICOS DIVERSOS;SERVICOS;HORIZONTINA;RS;SUL;ATIVA;;;;;
34666953000105;2019-08-27;ATIVIDADES DE FORNECIMENTO DE INFRA ESTRUTURA DE APOIO E ASSISTENCIA A PACIENTE NO DOMICILIO;SERVICOS DE SAUDE;SERVICOS;TAPES;RS;SUL;ATIVA;;;;;
42200239000155;2021-06-04;ATIVIDADES DE FORNECIMENTO DE INFRA ESTRUTURA DE APOIO E ASSISTENCIA A PACIENTE NO DOMICILIO;SERVICOS DE SAUDE;SERVICOS;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
42168821000181;2021-06-01;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS SEM ENTRETENIMENTO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;RIO DE JANEIRO;RJ;SUDESTE;ATIVA;;;;;
42161904000149;2021-06-01;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;OLIMPIA;SP;SUDESTE;ATIVA;;;;;
12991187000111;2010-11-18;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS;SERVICOS DE SAUDE;SERVICOS;TERESINA;PI;NORDESTE;ATIVA;;;;;
42199788000157;2021-06-04;SERVICOS AMBULANTES DE ALIMENTACAO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;AMERICANA;SP;SUDESTE;ATIVA;;;;;
33098658101910;2009-04-22;OUTRAS ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS NAO ESPECIFICADAS ANTERIORMENTE;BENS DE CAPITAL;SERVICOS;ARACAJU;SE;NORDESTE;ATIVA;;;;;
20420526000138;2014-06-10;CONFECCAO SOB MEDIDA DE PECAS DO VESTUARIO EXCETO ROUPAS INTIMAS;BENS DE CONSUMO;INDUSTRIA;IPATINGA;MG;SUDESTE;ATIVA;;;;;
37726297000187;2020-07-14;OUTROS SERVICOS DE ACABAMENTO EM FIOS TECIDOS ARTEFATOS TEXTEIS E PECAS DO VESTUARIO;TEXTEIS;INDUSTRIA;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
38341329000199;2020-09-03;PROMOCAO DE VENDAS;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;MOGI DAS CRUZES;SP;SUDESTE;ATIVA;;;;;
37747387000154;2020-07-16;FABRICACAO DE CALCADOS DE MATERIAIS NAO ESPECIFICADOS ANTERIORMENTE;BENS DE CONSUMO;INDUSTRIA;CONCEICAO DO PARA;MG;SUDESTE;ATIVA;;;;;
13848187000120;1989-11-13;JUSTICA;SERVICOS DIVERSOS;SERVICOS;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
07751384000123;2005-11-29;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;VAREJO;COMERCIO;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
14918916002930;1994-02-01;FABRICACAO DE OLEOS VEGETAIS EM BRUTO EXCETO OLEO DE MILHO;BENS DE CONSUMO;INDUSTRIA;SAO DESIDERIO;BA;NORDESTE;ATIVA;;;;;
22643743000112;2015-06-15;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;SERVICOS ADMINISTRATIVOS;SERVICOS;SANTO ANDRE;SP;SUDESTE;ATIVA;;;;;
52033727000179;1982-12-03;CORRETAGEM NO ALUGUEL DE IMOVEIS;SERVICOS ADMINISTRATIVOS;SERVICOS;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
36851092000160;2020-04-02;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;PARAIBA DO SUL;RJ;SUDESTE;ATIVA;;;;;
74367350000127;1994-02-01;CONSTRUCAO DE EDIFICIOS;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
32591619000104;2019-01-29;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;VAREJO;COMERCIO;BRACO DO NORTE;SC;SUL;ATIVA;;;;;
32157937000161;2018-11-13;SERVICOS ADVOCATICIOS;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
29942656000105;2018-03-15;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;JUIZ DE FORA;MG;SUDESTE;ATIVA;;;;;
38545678000122;2020-09-18;INSTALACAO E MANUTENCAO ELETRICA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;NOVA MUTUM;MT;CENTRO-OESTE;ATIVA;;;;;
43991509000156;2021-10-24;COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO;VAREJO;COMERCIO;SALVADOR;BA;NORDESTE;ATIVA;;;;;
44540341000125;2021-11-09;SERVICOS ADVOCATICIOS DISPENSADA;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;ALTO PARAGUAI;MT;CENTRO-OESTE;ATIVA;;;;;
39933574000158;2020-11-27;EDICAO DE CADASTROS LISTAS E DE OUTROS PRODUTOS GRAFICOS;TELECOM;SERVICOS;CANOINHAS;SC;SUL;ATIVA;;;;;
43472742000122;2021-09-10;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;CONCEICAO DO CASTELO;ES;SUDESTE;ATIVA;;;;;
45548985000122;2022-03-07;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;VAREJO;COMERCIO;ATIBAIA;SP;SUDESTE;ATIVA;;;;;
46992805000160;2022-07-01;INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;GOIANIA;GO;CENTRO-OESTE;ATIVA;;;;;
37998250000172;2020-08-06;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;RECIFE;PE;NORDESTE;ATIVA;;;;;
32664965000418;2020-09-09;COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS;VAREJO;COMERCIO;PETROPOLIS;RJ;SUDESTE;ATIVA;;;;;
47194650000189;2022-07-18;MARKETING DIRETO;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;PIRACICABA;SP;SUDESTE;ATIVA;;;;;
47195702000131;2022-07-18;PROMOCAO DE VENDAS;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;FORTALEZA;CE;NORDESTE;ATIVA;;;;;
42993033000120;2021-08-04;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS MUNICIPAL;TRANSPORTE;SERVICOS;FRANCISCO MORATO;SP;SUDESTE;ATIVA;;;;;
40920740000160;2021-02-08;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS DIVERSOS;SERVICOS;OEIRAS;PI;NORDESTE;ATIVA;;;;;
41679286000160;2021-04-23;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE DISPENSADA;VAREJO;COMERCIO;FLORESTOPOLIS;PR;SUL;ATIVA;;;;;
11540131000188;2009-12-01;IMPRESSAO DE MATERIAL PARA USO PUBLICITARIO;PAPEL E CELULOSE;INDUSTRIA;RIO DE JANEIRO;RJ;SUDESTE;ATIVA;;;;;
46676743000187;2022-06-06;REPARACAO E MANUTENCAO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMESTICOS NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;RESENDE;RJ;SUDESTE;ATIVA;;;;;
02575838000139;1998-05-06;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;SERVICOS DIVERSOS;SERVICOS;TAQUARIVAI;SP;SUDESTE;ATIVA;;;;;
11139749000130;2009-09-15;FABRICACAO DE OUTROS PRODUTOS TEXTEIS NAO ESPECIFICADOS ANTERIORMENTE;TEXTEIS;INDUSTRIA;SERAFINA CORREA;RS;SUL;ATIVA;;;;;
